region;nCFR;nCFR_LQ;nCFR_UQ;cCFR;cCFR_LQ;cCFR_UQ;letalidad_caso_cruda;letalidad_caso_aj_retraso
Antofagasta;0,023627201;0,021277190;0,026160902;0,026625873;0,023981596;0,02947680;2.36% (2.13% - 2.62%);2.66% (2.4% - 2.95%)
Araucanía;0,022904368;0,018612203;0,027870741;0,025177915;0,020461690;0,03062621;2.29% (1.86% - 2.79%);2.52% (2.05% - 3.06%)
Arica y Parinacota;0,014800515;0,011533449;0,018694104;0,019185421;0,014959300;0,02422157;1.48% (1.15% - 1.87%);1.92% (1.5% - 2.42%)
Atacama;0,004905167;0,002747905;0,008077441;0,006917224;0,003875639;0,01138067;0.491% (0.275% - 0.808%);0.692% (0.388% - 1.14%)
Biobío;0,010634735;0,008873194;0,012640521;0,012567125;0,010486841;0,01493423;1.06% (0.887% - 1.26%);1.26% (1.05% - 1.49%)
Coquimbo;0,011272619;0,008891538;0,014089316;0,014172263;0,011181085;0,01770564;1.13% (0.889% - 1.41%);1.42% (1.12% - 1.77%)
Los Lagos;0,010082493;0,007335245;0,013511880;0,013716909;0,009983069;0,01836938;1.01% (0.734% - 1.35%);1.37% (0.998% - 1.84%)
Los Ríos;0,015167931;0,008316607;0,025318371;0,016420488;0,009001254;0,02738446;1.52% (0.832% - 2.53%);1.64% (0.9% - 2.74%)
Magallanes;0,018230563;0,012657402;0,025382923;0,020641818;0,014337622;0,02872877;1.82% (1.27% - 2.54%);2.06% (1.43% - 2.87%)
Maule;0,021247064;0,018422819;0,024374255;0,024212989;0,020997877;0,02776960;2.12% (1.84% - 2.44%);2.42% (2.1% - 2.78%)
Metropolitana;0,029909621;0,029256418;0,030573390;0,031162362;0,030482228;0,03185348;2.99% (2.93% - 3.06%);3.12% (3.05% - 3.19%)
Ñuble;0,019081858;0,014876395;0,024087945;0,020921178;0,016313956;0,02640405;1.91% (1.49% - 2.41%);2.09% (1.63% - 2.64%)
O’Higgins;0,023539110;0,020777138;0,026559011;0,026428176;0,023332258;0,02981449;2.35% (2.08% - 2.66%);2.64% (2.33% - 2.98%)
Tarapacá;0,019126589;0,016404286;0,022164498;0,021481853;0,018428051;0,02489005;1.91% (1.64% - 2.22%);2.15% (1.84% - 2.49%)
Valparaíso;0,029085721;0,026693720;0,031629524;0,032540785;0,029869377;0,03538180;2.91% (2.67% - 3.16%);3.25% (2.99% - 3.54%)
